,SEX,RAC1P
534869,2.0,1.0
1501816,1.0,1.0
630052,1.0,1.0
573902,1.0,1.0
312523,2.0,1.0
1572327,1.0,1.0
223584,1.0,1.0
126400,2.0,1.0
1172342,2.0,1.0
556732,2.0,1.0
893888,1.0,1.0
818154,1.0,1.0
1641117,2.0,1.0
1509294,2.0,1.0
742628,1.0,1.0
1449220,2.0,1.0
1125329,1.0,1.0
1506075,2.0,1.0
821842,1.0,1.0
1010534,1.0,1.0
1154234,1.0,6.0
377130,2.0,1.0
952073,2.0,1.0
748359,2.0,1.0
1284539,2.0,1.0
751565,1.0,1.0
720475,1.0,1.0
591879,1.0,2.0
1386323,2.0,1.0
1247246,1.0,1.0
1511175,1.0,1.0
98245,1.0,1.0
1283280,2.0,2.0
102650,2.0,8.0
739608,2.0,1.0
350351,2.0,2.0
1051074,2.0,1.0
1250789,1.0,1.0
904844,2.0,8.0
340682,1.0,1.0
1540935,1.0,1.0
1094306,2.0,2.0
1033421,1.0,1.0
93346,1.0,8.0
1041486,1.0,6.0
1319843,1.0,1.0
323638,2.0,2.0
1224019,1.0,1.0
485500,2.0,1.0
1605229,2.0,1.0
851003,2.0,1.0
1588281,2.0,1.0
813406,1.0,1.0
186098,2.0,1.0
748776,1.0,1.0
944102,1.0,1.0
1299154,1.0,1.0
1161766,1.0,1.0
1015400,2.0,1.0
344501,2.0,1.0
942574,2.0,9.0
1079979,2.0,1.0
1143311,1.0,1.0
190727,1.0,1.0
883338,2.0,1.0
967466,2.0,6.0
109655,2.0,1.0
442535,1.0,1.0
263958,1.0,1.0
746031,1.0,1.0
226012,1.0,1.0
1055046,2.0,1.0
654922,2.0,2.0
695266,2.0,1.0
1208410,1.0,1.0
711156,2.0,1.0
1233658,2.0,1.0
1005087,1.0,1.0
931847,2.0,1.0
1312961,1.0,1.0
386966,1.0,1.0
806752,2.0,1.0
462191,1.0,1.0
558192,1.0,1.0
909253,1.0,6.0
1426017,1.0,1.0
1223957,1.0,1.0
295614,1.0,1.0
1035361,2.0,1.0
581124,2.0,1.0
549202,1.0,1.0
1655524,1.0,2.0
391253,2.0,1.0
583379,1.0,1.0
143733,2.0,1.0
493681,1.0,1.0
702575,1.0,1.0
754484,1.0,1.0
88808,1.0,1.0
386522,2.0,1.0
480589,1.0,6.0
190419,2.0,1.0
1206073,1.0,1.0
1287207,2.0,1.0
258518,2.0,6.0
554697,1.0,1.0
526500,1.0,1.0
1611902,1.0,1.0
360786,2.0,1.0
42451,2.0,1.0
1587519,2.0,3.0
128931,2.0,1.0
130930,1.0,1.0
40562,1.0,1.0
477125,2.0,6.0
390728,1.0,1.0
468653,2.0,1.0
146223,2.0,1.0
1238404,1.0,1.0
803954,1.0,1.0
751023,2.0,1.0
232221,1.0,1.0
406424,1.0,1.0
783574,1.0,1.0
93762,2.0,1.0
110808,1.0,6.0
88318,1.0,1.0
1158640,1.0,1.0
1350949,1.0,1.0
1631807,1.0,1.0
342418,1.0,2.0
411638,2.0,2.0
161558,2.0,8.0
847117,1.0,1.0
945868,2.0,1.0
742371,1.0,1.0
302059,2.0,1.0
171128,1.0,1.0
1627829,1.0,1.0
1430778,2.0,1.0
627736,1.0,1.0
1369434,1.0,1.0
127109,2.0,8.0
1259577,2.0,1.0
1090576,2.0,8.0
291772,1.0,1.0
476499,2.0,9.0
9276,2.0,1.0
751514,2.0,1.0
748737,1.0,1.0
619660,1.0,6.0
254593,2.0,1.0
686271,1.0,1.0
1158511,1.0,1.0
1354215,2.0,1.0
175284,2.0,9.0
1484908,2.0,1.0
1107824,1.0,1.0
1031110,2.0,1.0
705139,1.0,2.0
1298441,1.0,1.0
1551747,1.0,1.0
866973,1.0,1.0
1267921,1.0,1.0
862364,2.0,1.0
1189054,2.0,1.0
944123,1.0,2.0
1456871,2.0,2.0
604299,1.0,1.0
1467246,1.0,1.0
1004766,1.0,1.0
395681,1.0,1.0
481389,2.0,1.0
678854,2.0,1.0
194480,1.0,1.0
1537370,1.0,1.0
405755,1.0,1.0
827954,2.0,1.0
165036,1.0,1.0
551453,1.0,1.0
1498243,1.0,1.0
1440007,2.0,1.0
530444,2.0,1.0
265919,1.0,1.0
1019091,1.0,8.0
1242067,1.0,1.0
1440194,1.0,1.0
1153121,1.0,1.0
584154,2.0,1.0
908885,1.0,1.0
793307,1.0,1.0
401038,2.0,6.0
971311,1.0,6.0
390534,2.0,1.0
280003,2.0,1.0
882211,2.0,1.0
1568259,1.0,1.0
104680,1.0,8.0
578012,1.0,1.0
222435,2.0,1.0
597366,2.0,1.0
351472,2.0,1.0
1591318,1.0,6.0
1335884,1.0,2.0
561293,1.0,2.0
56835,2.0,1.0
749592,1.0,1.0
1492182,1.0,8.0
672701,1.0,1.0
1235245,1.0,1.0
246865,2.0,9.0
86494,1.0,6.0
1599328,2.0,1.0
898160,2.0,1.0
143056,1.0,1.0
476431,2.0,6.0
625821,1.0,1.0
1315728,1.0,1.0
1100027,1.0,2.0
620743,2.0,1.0
531148,1.0,1.0
189749,1.0,1.0
734314,2.0,1.0
1606616,1.0,1.0
556275,1.0,1.0
1452911,1.0,1.0
863284,1.0,1.0
743338,1.0,6.0
300378,2.0,1.0
1474059,2.0,1.0
918108,1.0,1.0
985993,1.0,1.0
1097674,2.0,1.0
203738,2.0,1.0
920009,1.0,1.0
539069,1.0,1.0
324186,2.0,1.0
325428,2.0,1.0
1158698,2.0,1.0
1202891,1.0,1.0
1124293,1.0,1.0
1324666,1.0,1.0
1205340,2.0,1.0
19539,1.0,2.0
1611604,1.0,1.0
1121215,1.0,1.0
1562644,2.0,1.0
1142404,1.0,1.0
633374,2.0,1.0
1106982,2.0,1.0
629434,1.0,1.0
23586,2.0,1.0
1568223,2.0,1.0
942528,1.0,2.0
386349,1.0,1.0
449147,1.0,1.0
1003984,1.0,2.0
311833,2.0,1.0
479784,2.0,9.0
611855,2.0,1.0
391805,2.0,1.0
791995,1.0,1.0
571313,2.0,1.0
740701,2.0,1.0
733077,2.0,2.0
329768,2.0,1.0
150345,1.0,6.0
100951,1.0,1.0
1075207,2.0,2.0
442314,1.0,1.0
1236463,1.0,1.0
1290449,2.0,8.0
734298,1.0,1.0
1010141,2.0,1.0
1603789,1.0,1.0
1213612,2.0,1.0
1537542,1.0,1.0
104380,1.0,1.0
1543539,1.0,6.0
1321944,1.0,2.0
686656,1.0,9.0
577097,1.0,1.0
303775,1.0,1.0
77814,1.0,1.0
1553387,2.0,1.0
33158,1.0,1.0
540425,2.0,1.0
673270,2.0,3.0
1479627,1.0,1.0
1096629,2.0,1.0
1228565,2.0,1.0
1144071,2.0,1.0
1339111,2.0,1.0
1438863,2.0,1.0
1437575,2.0,8.0
504628,1.0,2.0
897771,2.0,2.0
736346,1.0,1.0
693576,1.0,1.0
389876,1.0,2.0
7879,2.0,1.0
243293,2.0,6.0
13423,2.0,1.0
330656,2.0,1.0
369475,2.0,1.0
1599645,1.0,6.0
986130,1.0,1.0
1083154,2.0,2.0
33481,2.0,1.0
336522,1.0,8.0
620285,2.0,8.0
442685,2.0,1.0
1597917,2.0,1.0
49573,2.0,1.0
1554573,1.0,1.0
515843,2.0,2.0
1656524,1.0,1.0
736709,2.0,1.0
26939,2.0,1.0
64774,1.0,1.0
990039,1.0,2.0
1309962,1.0,8.0
721228,2.0,1.0
65964,1.0,1.0
1662605,1.0,9.0
1364679,1.0,2.0
977044,2.0,2.0
1627889,2.0,1.0
1203820,2.0,1.0
672639,2.0,1.0
1382292,1.0,1.0
1526778,1.0,2.0
1641892,2.0,1.0
852776,2.0,2.0
1292224,2.0,1.0
1405385,2.0,1.0
1354435,2.0,1.0
762281,1.0,1.0
348825,1.0,2.0
1516443,1.0,1.0
1570012,1.0,1.0
677025,1.0,1.0
22475,1.0,1.0
553059,2.0,1.0
667304,2.0,2.0
12536,1.0,1.0
856752,2.0,1.0
1507582,2.0,1.0
1549209,2.0,9.0
1217591,1.0,1.0
836027,2.0,1.0
14806,1.0,1.0
1662260,2.0,1.0
148835,1.0,1.0
891092,2.0,6.0
1352406,2.0,1.0
936345,1.0,1.0
1217928,1.0,1.0
139676,2.0,1.0
840553,1.0,1.0
990535,1.0,8.0
1416614,2.0,1.0
1568568,2.0,1.0
523844,1.0,1.0
673481,2.0,1.0
1299537,1.0,1.0
1219797,2.0,1.0
1587620,2.0,1.0
1416176,2.0,1.0
26284,2.0,1.0
1479310,2.0,1.0
137982,2.0,6.0
104062,2.0,2.0
1013492,1.0,1.0
1283628,1.0,1.0
456352,2.0,1.0
142958,1.0,1.0
1256426,1.0,1.0
1624921,1.0,1.0
1314732,2.0,1.0
472510,1.0,1.0
277856,1.0,1.0
821648,2.0,1.0
1568789,1.0,1.0
345879,2.0,2.0
916172,1.0,2.0
213464,1.0,1.0
964878,1.0,3.0
34334,1.0,2.0
703715,2.0,1.0
801352,2.0,1.0
137214,2.0,1.0
1645738,2.0,1.0
1059777,1.0,1.0
801268,1.0,1.0
405753,2.0,1.0
607141,2.0,1.0
408975,1.0,1.0
1560136,2.0,1.0
1043740,2.0,1.0
315563,1.0,1.0
349861,2.0,1.0
691796,1.0,1.0
1354086,1.0,1.0
507370,2.0,1.0
1353049,2.0,1.0
347144,1.0,1.0
1288255,2.0,1.0
165057,2.0,1.0
325057,1.0,9.0
1386746,2.0,8.0
120838,1.0,1.0
914650,1.0,9.0
1142421,2.0,1.0
44559,1.0,1.0
845916,1.0,1.0
1142189,2.0,1.0
371937,2.0,1.0
208466,1.0,8.0
332171,1.0,1.0
24789,1.0,1.0
1570494,1.0,2.0
876533,2.0,1.0
755637,1.0,1.0
755363,2.0,1.0
1487524,2.0,2.0
920038,1.0,1.0
443046,1.0,1.0
137568,1.0,2.0
1453247,1.0,1.0
549687,1.0,1.0
760687,1.0,1.0
1101066,1.0,8.0
492081,2.0,1.0
693674,1.0,1.0
723764,1.0,1.0
1166239,1.0,1.0
1374759,2.0,2.0
739637,1.0,1.0
929115,2.0,1.0
1532661,1.0,1.0
927530,1.0,1.0
1082893,2.0,1.0
1115176,1.0,1.0
710423,1.0,1.0
153598,1.0,8.0
1631930,1.0,1.0
1107794,2.0,5.0
27713,2.0,1.0
1395658,2.0,1.0
1058184,2.0,2.0
1392740,1.0,1.0
175222,1.0,2.0
125292,2.0,1.0
151229,1.0,1.0
937270,1.0,1.0
1362493,2.0,1.0
566631,2.0,1.0
703991,2.0,1.0
1353401,2.0,1.0
1068768,1.0,1.0
1201960,1.0,1.0
1248376,2.0,1.0
1478561,1.0,1.0
1143273,1.0,1.0
1401982,1.0,1.0
301978,1.0,2.0
1242575,1.0,1.0
186642,2.0,1.0
579573,2.0,1.0
23193,1.0,1.0
1537626,1.0,1.0
108545,1.0,9.0
660184,2.0,1.0
520690,2.0,8.0
34004,1.0,1.0
272100,1.0,1.0
1333096,1.0,1.0
1097875,1.0,1.0
994976,1.0,1.0
970568,2.0,1.0
1005684,2.0,1.0
348186,1.0,1.0
1118531,2.0,1.0
196102,1.0,1.0
327015,2.0,1.0
159267,1.0,1.0
1046145,1.0,2.0
1568168,2.0,1.0
203904,1.0,1.0
1350759,2.0,1.0
1403442,2.0,1.0
840190,1.0,1.0
310613,1.0,1.0
233428,1.0,1.0
989291,2.0,1.0
1162486,2.0,1.0
153276,2.0,1.0
344376,1.0,1.0
676392,2.0,6.0
1280741,1.0,1.0
288079,1.0,2.0
776105,1.0,1.0
1177981,1.0,1.0
555449,1.0,1.0
771127,2.0,2.0
1444766,1.0,2.0
1645124,2.0,2.0
585246,1.0,1.0
4493,1.0,1.0
363988,2.0,1.0
99626,2.0,1.0
331391,2.0,1.0
309748,1.0,1.0
250952,2.0,8.0
1284737,2.0,2.0
243760,2.0,1.0
1585479,2.0,2.0
178886,2.0,6.0
557136,1.0,1.0
1460224,2.0,6.0
1520842,1.0,1.0
1213563,2.0,1.0
719615,1.0,1.0
1526038,2.0,1.0
650622,1.0,2.0
1248138,1.0,1.0
351786,1.0,1.0
1406574,2.0,1.0
776590,1.0,1.0
523922,1.0,1.0
1554781,2.0,1.0
381676,2.0,1.0
709214,2.0,1.0
465157,2.0,2.0
1121561,1.0,1.0
1656236,2.0,1.0
922324,2.0,1.0
425578,1.0,8.0
726033,1.0,6.0
684598,2.0,2.0
460000,1.0,6.0
518977,1.0,1.0
1606269,1.0,1.0
1119902,2.0,1.0
1064480,2.0,1.0
601353,2.0,1.0
1467700,1.0,1.0
182182,2.0,1.0
186894,1.0,1.0
445007,1.0,9.0
543849,1.0,1.0
518671,2.0,1.0
682090,2.0,1.0
196717,1.0,8.0
622129,2.0,1.0
52778,1.0,1.0
13005,1.0,2.0
1591978,1.0,1.0
1445573,2.0,8.0
996138,2.0,1.0
1300742,1.0,1.0
1270050,2.0,2.0
1087719,2.0,1.0
718950,1.0,1.0
1632819,2.0,1.0
1386134,1.0,1.0
654957,2.0,6.0
422252,2.0,1.0
83886,1.0,1.0
976132,2.0,2.0
955382,1.0,1.0
843836,1.0,2.0
525752,2.0,1.0
686973,2.0,1.0
1255069,1.0,1.0
1226792,2.0,1.0
475470,1.0,6.0
608117,2.0,1.0
220904,1.0,1.0
1530208,2.0,1.0
482661,1.0,1.0
315549,1.0,1.0
650398,1.0,1.0
674680,1.0,1.0
594726,2.0,1.0
188609,1.0,1.0
352784,1.0,2.0
1220266,2.0,1.0
1165673,1.0,1.0
1187311,2.0,1.0
159459,1.0,1.0
176471,1.0,1.0
1653865,1.0,1.0
1593773,2.0,1.0
1417229,1.0,1.0
659799,1.0,1.0
1233087,1.0,1.0
314639,1.0,1.0
1603342,2.0,1.0
648149,2.0,2.0
1340996,2.0,1.0
715507,1.0,2.0
944209,2.0,1.0
1319089,1.0,1.0
226171,1.0,1.0
1429906,1.0,1.0
507810,2.0,1.0
1351744,2.0,1.0
982176,2.0,1.0
1166801,2.0,1.0
434993,2.0,1.0
1514041,1.0,1.0
919308,1.0,9.0
148734,2.0,2.0
243416,1.0,6.0
1167237,1.0,1.0
1495101,1.0,1.0
361542,2.0,8.0
558870,1.0,1.0
1199458,2.0,1.0
941978,1.0,1.0
1002711,1.0,1.0
1330430,1.0,6.0
1173772,2.0,1.0
1179523,1.0,6.0
514274,2.0,1.0
1318168,2.0,1.0
1642560,1.0,1.0
255597,2.0,1.0
856950,2.0,1.0
665099,1.0,1.0
594118,2.0,1.0
874778,1.0,1.0
106789,1.0,1.0
440251,1.0,1.0
1648878,1.0,1.0
147508,2.0,1.0
271921,1.0,1.0
874212,2.0,1.0
520272,1.0,1.0
96141,1.0,9.0
625633,1.0,1.0
860927,2.0,1.0
792875,1.0,1.0
262755,2.0,6.0
331898,2.0,1.0
1377203,2.0,1.0
1237485,1.0,1.0
1194771,2.0,1.0
154113,1.0,1.0
686765,1.0,1.0
435596,2.0,2.0
1584165,2.0,1.0
247065,2.0,1.0
570060,1.0,1.0
860586,2.0,1.0
361860,1.0,1.0
241509,2.0,1.0
1179567,1.0,1.0
248478,1.0,1.0
610455,1.0,9.0
1441420,1.0,1.0
428263,2.0,1.0
575336,2.0,2.0
1611583,1.0,1.0
469331,1.0,1.0
1007313,1.0,1.0
1420697,2.0,1.0
330159,2.0,1.0
614608,1.0,1.0
1126313,1.0,1.0
388058,1.0,1.0
419425,2.0,1.0
84074,2.0,1.0
731086,2.0,1.0
1004680,2.0,1.0
1040478,2.0,1.0
736602,2.0,1.0
916409,2.0,1.0
343400,1.0,1.0
1527930,2.0,2.0
1095827,1.0,1.0
1336820,2.0,1.0
1464845,1.0,8.0
502680,1.0,1.0
414012,2.0,1.0
723362,1.0,1.0
905431,1.0,6.0
1081326,1.0,1.0
52597,2.0,1.0
525300,2.0,1.0
451563,2.0,1.0
172453,1.0,6.0
605769,2.0,1.0
87658,2.0,1.0
1420807,1.0,1.0
150707,2.0,1.0
809476,2.0,1.0
622965,1.0,2.0
1568295,2.0,1.0
1041149,2.0,1.0
246053,1.0,7.0
174726,1.0,1.0
555463,1.0,1.0
849918,2.0,1.0
150146,2.0,6.0
571764,1.0,1.0
872986,2.0,1.0
32944,1.0,1.0
1060873,2.0,1.0
1472079,1.0,1.0
1430448,1.0,1.0
227859,1.0,6.0
1345625,1.0,1.0
187391,2.0,1.0
1223425,1.0,1.0
652484,2.0,1.0
295480,2.0,1.0
641808,2.0,1.0
697998,1.0,2.0
1240172,2.0,1.0
305518,1.0,8.0
820244,2.0,1.0
660542,2.0,1.0
1475190,2.0,1.0
1086019,2.0,9.0
812192,1.0,1.0
197156,2.0,1.0
1344607,2.0,1.0
1437329,2.0,1.0
193992,2.0,9.0
1332256,2.0,1.0
555778,2.0,1.0
1051481,2.0,1.0
964671,1.0,1.0
924780,2.0,1.0
1597362,1.0,2.0
488985,1.0,1.0
71035,1.0,1.0
1088360,1.0,1.0
375158,1.0,1.0
565078,1.0,1.0
918411,1.0,1.0
1183966,2.0,1.0
743685,2.0,1.0
990300,2.0,1.0
114320,1.0,1.0
486634,1.0,2.0
1608821,1.0,3.0
1160607,1.0,1.0
956106,2.0,1.0
60375,1.0,1.0
1276893,1.0,1.0
144803,1.0,1.0
823491,2.0,1.0
1129845,2.0,1.0
344660,2.0,1.0
1275279,2.0,1.0
933156,1.0,1.0
897895,2.0,1.0
376827,2.0,2.0
1492242,1.0,1.0
741991,1.0,1.0
546021,1.0,1.0
409907,2.0,2.0
1307944,2.0,1.0
91678,2.0,1.0
936050,1.0,1.0
60397,2.0,1.0
1081002,1.0,2.0
386419,2.0,1.0
233629,2.0,8.0
315223,2.0,1.0
852321,1.0,1.0
1091748,2.0,1.0
124844,1.0,6.0
698990,2.0,1.0
1295168,1.0,1.0
603102,1.0,1.0
786815,1.0,1.0
1527675,1.0,1.0
225680,2.0,1.0
1084473,1.0,1.0
1219259,2.0,1.0
1136035,2.0,1.0
586445,2.0,1.0
1400922,1.0,1.0
1662712,1.0,2.0
1169727,1.0,1.0
1400191,2.0,1.0
1285313,2.0,1.0
1312575,2.0,2.0
1399003,2.0,1.0
1279986,2.0,1.0
1154918,2.0,1.0
1333512,2.0,1.0
280499,1.0,1.0
1221538,2.0,1.0
255648,1.0,1.0
105928,2.0,1.0
1252178,1.0,1.0
923457,1.0,9.0
939607,1.0,1.0
148095,2.0,1.0
1256693,1.0,6.0
1252024,2.0,1.0
1348689,2.0,1.0
960897,1.0,1.0
1330473,2.0,2.0
20556,1.0,1.0
66286,1.0,1.0
1323052,1.0,1.0
512720,1.0,1.0
1595490,1.0,8.0
1450767,1.0,1.0
206125,2.0,5.0
1283059,2.0,2.0
273962,2.0,9.0
1530949,2.0,6.0
1643515,1.0,1.0
176564,1.0,6.0
335893,1.0,1.0
941937,1.0,6.0
973492,1.0,8.0
1263844,2.0,1.0
1289610,1.0,1.0
316502,2.0,8.0
503253,1.0,1.0
1160388,1.0,1.0
1199777,1.0,1.0
622411,1.0,1.0
197629,2.0,1.0
437218,1.0,8.0
1333030,2.0,1.0
785634,2.0,1.0
1205994,1.0,1.0
1403872,1.0,1.0
368840,2.0,1.0
1239925,2.0,1.0
742222,1.0,1.0
1418308,1.0,2.0
501423,2.0,1.0
19194,1.0,1.0
441830,2.0,1.0
773631,2.0,1.0
164802,1.0,1.0
1492301,1.0,2.0
426894,1.0,1.0
1135060,2.0,1.0
1412295,2.0,1.0
1620324,2.0,1.0
1390535,1.0,1.0
793860,1.0,1.0
935799,2.0,1.0
1405208,1.0,1.0
1284115,2.0,1.0
1125302,2.0,1.0
1429747,2.0,6.0
661399,1.0,1.0
572870,2.0,1.0
896761,2.0,2.0
438008,2.0,2.0
435056,2.0,2.0
1178006,1.0,1.0
814516,1.0,1.0
1108835,2.0,1.0
593265,1.0,1.0
10048,1.0,2.0
1477080,1.0,1.0
122170,1.0,1.0
847503,1.0,1.0
858478,2.0,2.0
653802,2.0,1.0
167932,2.0,1.0
1252102,1.0,9.0
414510,2.0,1.0
1528592,1.0,1.0
274912,2.0,9.0
235774,2.0,6.0
864024,1.0,1.0
922762,1.0,6.0
1330381,2.0,1.0
1351986,1.0,1.0
408411,2.0,1.0
738455,2.0,1.0
1359842,2.0,1.0
229256,2.0,1.0
1455312,2.0,1.0
784636,2.0,1.0
1482695,2.0,1.0
752136,1.0,1.0
1485265,2.0,1.0
1092132,2.0,2.0
1654514,1.0,1.0
738630,1.0,1.0
1248475,2.0,1.0
531530,2.0,1.0
1012413,2.0,8.0
965142,2.0,1.0
165876,1.0,1.0
689849,2.0,6.0
1246829,1.0,1.0
977094,2.0,2.0
762758,1.0,1.0
1200832,1.0,1.0
1192172,1.0,9.0
283571,2.0,1.0
687599,1.0,6.0
916510,2.0,2.0
1330522,1.0,1.0
1500858,1.0,1.0
1233038,1.0,1.0
286590,2.0,1.0
742872,2.0,2.0
23384,2.0,6.0
1267936,1.0,1.0
454612,1.0,1.0
583382,2.0,1.0
1036536,1.0,1.0
1125592,2.0,1.0
1173397,2.0,1.0
1431605,1.0,1.0
777299,2.0,1.0
282135,1.0,2.0
1338600,2.0,1.0
1006803,1.0,1.0
1580768,2.0,1.0
271820,1.0,1.0
757539,1.0,1.0
847352,1.0,1.0
96561,2.0,6.0
1013357,1.0,1.0
507327,2.0,1.0
1446975,1.0,1.0
1406510,1.0,1.0
1042770,2.0,1.0
557984,1.0,2.0
720070,1.0,1.0
1400607,1.0,1.0
1354485,2.0,1.0
1459209,1.0,9.0
477702,1.0,6.0
874414,2.0,1.0
1625871,1.0,1.0
1256637,2.0,1.0
916053,1.0,8.0
746594,2.0,1.0
883841,1.0,1.0
1423902,2.0,1.0
133251,2.0,6.0
915714,2.0,2.0
1541716,2.0,1.0
762575,1.0,8.0
670699,2.0,1.0
1227700,2.0,1.0
97015,2.0,1.0
1626387,2.0,1.0
1653672,2.0,1.0
1581601,2.0,9.0
13901,1.0,1.0
574950,1.0,1.0
1525756,1.0,1.0
1503505,2.0,1.0
395655,2.0,1.0
164084,2.0,6.0
1164694,2.0,1.0
1228202,1.0,1.0
888111,2.0,1.0
1044879,2.0,1.0
658330,1.0,2.0
1132286,1.0,1.0
297546,2.0,1.0
886174,1.0,1.0
54563,1.0,1.0
1301247,2.0,1.0
76957,2.0,1.0
967682,2.0,9.0
436147,1.0,1.0
478146,1.0,6.0
587336,2.0,1.0
1012620,1.0,1.0
948141,1.0,1.0
1569634,1.0,2.0
171385,1.0,1.0
692718,1.0,6.0
933154,1.0,6.0
1478428,2.0,1.0
132628,2.0,1.0
104738,2.0,8.0
883308,1.0,1.0
920984,2.0,1.0
1298930,2.0,1.0
194819,1.0,6.0
1504725,2.0,2.0
594856,1.0,1.0
992760,2.0,1.0
517345,2.0,1.0
1080682,1.0,1.0
125146,1.0,1.0
949973,1.0,1.0
1008544,1.0,9.0
1460086,2.0,6.0
1527208,1.0,1.0
156412,1.0,1.0
1653350,1.0,1.0
1263681,1.0,1.0
622353,1.0,1.0
614773,2.0,1.0
1177769,2.0,1.0
1628376,1.0,2.0
1045005,1.0,1.0
658140,1.0,2.0
219612,2.0,1.0
838866,2.0,2.0
1286716,1.0,1.0
353317,1.0,1.0
1024676,1.0,1.0
805451,2.0,1.0
143505,2.0,1.0
437891,2.0,1.0
645614,2.0,1.0
1275949,1.0,1.0
1536549,1.0,2.0
1630301,1.0,1.0
763997,1.0,1.0
1022684,1.0,6.0
1189040,1.0,9.0
316738,2.0,1.0
207494,2.0,1.0
367008,1.0,2.0
1333670,2.0,1.0
773376,2.0,1.0
1621805,2.0,1.0
319156,1.0,2.0
1195214,2.0,1.0
359492,1.0,1.0
1143576,2.0,1.0
361844,2.0,1.0
1277686,1.0,1.0
865392,2.0,1.0
1196208,2.0,8.0
542536,1.0,1.0
250210,2.0,6.0
814747,1.0,1.0
1058624,2.0,1.0
1028269,1.0,1.0
215280,2.0,1.0
1507045,1.0,1.0
1352613,2.0,2.0
150817,1.0,1.0
1389987,1.0,6.0
395190,1.0,1.0
157177,2.0,6.0
35286,2.0,1.0
836873,1.0,1.0
663460,1.0,1.0
1631013,1.0,1.0
104742,1.0,8.0
441023,2.0,1.0
1358554,1.0,2.0
46321,1.0,2.0
890328,2.0,1.0
634289,1.0,1.0
1238365,2.0,1.0
1182824,2.0,1.0
626176,1.0,2.0
1472989,1.0,1.0
1591818,1.0,1.0
157257,1.0,9.0
975507,2.0,1.0
1793,1.0,1.0
151625,2.0,1.0
169889,2.0,1.0
182564,2.0,1.0
213210,1.0,1.0
905486,2.0,2.0
671315,2.0,1.0
798683,2.0,1.0
436464,2.0,1.0
1297081,1.0,3.0
94226,2.0,1.0
969867,1.0,1.0
1170399,1.0,1.0
912280,1.0,1.0
252849,1.0,2.0
262219,2.0,1.0
110783,2.0,6.0
108350,2.0,1.0
483187,2.0,1.0
1108041,1.0,1.0
194695,1.0,1.0
22282,1.0,4.0
348345,2.0,1.0
1017101,2.0,1.0
1555956,1.0,1.0
1180392,2.0,1.0
1611551,2.0,1.0
1232801,2.0,1.0
1292534,1.0,1.0
1612379,2.0,1.0
1484575,1.0,1.0
812539,1.0,1.0
896303,1.0,1.0
870815,1.0,2.0
60395,1.0,1.0
845378,2.0,1.0
557650,1.0,1.0
379456,1.0,6.0
751932,1.0,1.0
1517912,1.0,1.0
202468,2.0,1.0
1482760,1.0,1.0
145125,1.0,1.0
1486126,2.0,1.0
1567856,1.0,1.0
718580,1.0,1.0
676877,1.0,1.0
537480,1.0,1.0
63429,1.0,1.0
759042,1.0,6.0
50455,1.0,1.0
1033321,1.0,9.0
1101050,2.0,1.0
1157373,2.0,1.0
1130178,1.0,1.0
851983,2.0,1.0
974108,1.0,1.0
969362,2.0,1.0
586336,2.0,1.0
609216,1.0,1.0
1647326,2.0,1.0
1351900,1.0,1.0
1058082,1.0,1.0
598668,2.0,1.0
541134,2.0,1.0
1587541,1.0,9.0
837687,2.0,1.0
53441,1.0,1.0
1478989,2.0,1.0
1133697,2.0,2.0
523280,1.0,1.0
238878,2.0,1.0
1482580,1.0,1.0
110929,1.0,1.0
496925,1.0,1.0
165588,2.0,1.0
970883,2.0,1.0
883069,1.0,1.0
683513,1.0,1.0
1541289,2.0,1.0
1355599,2.0,1.0
870739,1.0,1.0
868490,1.0,1.0
256169,1.0,8.0
1608028,2.0,1.0
478583,1.0,1.0
893740,1.0,2.0
1517185,2.0,1.0
1221625,2.0,1.0
1635722,1.0,1.0
436056,2.0,2.0
406322,1.0,1.0
182956,1.0,1.0
693651,1.0,8.0
548356,1.0,1.0
1538029,1.0,1.0
91796,2.0,8.0
1345812,2.0,2.0
1179288,1.0,1.0
128613,2.0,1.0
1629124,1.0,1.0
683250,1.0,2.0
1416150,1.0,1.0
1096176,1.0,2.0
165793,1.0,1.0
398310,1.0,1.0
566702,2.0,1.0
1649245,1.0,1.0
771678,1.0,1.0
1068943,2.0,1.0
206972,2.0,1.0
184388,1.0,1.0
1306799,1.0,1.0
1029906,2.0,8.0
284236,1.0,1.0
866856,2.0,1.0
841925,1.0,1.0
649304,1.0,2.0
724988,1.0,1.0
969978,2.0,3.0
1271383,2.0,1.0
1589750,2.0,1.0
190151,1.0,6.0
947363,2.0,1.0
1587680,2.0,1.0
1284858,2.0,2.0
1289599,2.0,1.0
1426091,2.0,6.0
1064788,1.0,1.0
799385,2.0,1.0
1121522,1.0,1.0
767220,1.0,1.0
1264714,1.0,1.0
1530769,2.0,1.0
196054,2.0,6.0
901702,2.0,1.0
1459953,1.0,6.0
1261209,2.0,1.0
1160602,2.0,1.0
1186624,1.0,1.0
1069803,2.0,6.0
1238100,1.0,1.0
925741,1.0,6.0
517192,1.0,1.0
1161649,2.0,1.0
1052477,1.0,1.0
943676,1.0,1.0
1159121,1.0,1.0
214390,1.0,1.0
1590080,2.0,1.0
1348669,1.0,1.0
643751,1.0,1.0
1589591,1.0,1.0
270948,2.0,1.0
1644041,2.0,1.0
295083,1.0,1.0
